Difficulty	Song Name	Link	Primary Color	Secondary Color	Total Notes	Last Note Time	Fever Fill	Fever Time	Long Notes
39	sink to the deep sea world [EXTENDED CUT] (Hard) by Chroma	/scl/fi/8qfz2yig120pao6yhgwm3/sink-to-the-deep-sea-world-EXTENDED-CUT-Hard-by-Chroma.txt?rlkey=zzjypnb8mc1ljdnlo8j2wsjqn&dl=1	Beat	Beat	4773	238.724	1445	35.808600	435
39	Scattered Faith (Full Version) [EXTENDED CUT] (Hard) by Kurokotei	/scl/fi/73ejz0g3kwy5m5y2ockdx/Scattered-Faith-Full-Version-EXTENDED-CUT-Hard-by-Kurokotei.txt?rlkey=4xia9lirsx2zocevem95opkb2&dl=1	Chill	Rush	6503	362.404	1818	54.360600	1046
14	RAVE (Hard) by Dxrk	/scl/fi/ax10l0b4mcfjj7jzv7abu/RAVE-Hard-by-Dxrk.txt?rlkey=xx3oaltin038lglxkf4i3xfbj&dl=1	Chill	Chill	1030	159.695	304	23.954250	120
36	Stargaze Station (Hard) by seatrus	/scl/fi/wzxekkkbl8wox8s1oiy9s/Stargaze-Station-Hard-by-seatrus.txt?rlkey=u52xe420fn7xueqtznhdnprn4&dl=1	Flow	Vibe	2566	140.583	800	21.087450	166
15	Memory Reboot (Hard) by VOJ & Narvent	/scl/fi/tgs4emlmy7ntd11632atq/Memory-Reboot-Hard-by-VOJ-Narvent.txt?rlkey=45efg7e6708n3gtipof7ikxf9&dl=1	Beat	Beat	995	206.429	316	30.964350	48
39	Tool-Assisted Speedcore (TQBF Frame Advance RMX) [EXTENDED CUT] (Hard) by Kobaryo	/scl/fi/ozy0x75gygaq6ei6opcz8/Tool-Assisted-Speedcore-TQBF-Frame-Advance-RMX-EXTENDED-CUT-Hard-by-Kobaryo.txt?rlkey=ertfom2tyjcxlbt8mbc741g23&dl=1	Beat	Flow	4346	250.022	1411	37.503300	109
38	Attractor Dimension (Hard) by Laur [LAUR1200]	/scl/fi/7ndzmg8n4e74s7vyox4r0/Attractor-Dimension-Hard-by-Laur-LAUR1200.txt?rlkey=iy8l1kjqzcgdvjm4czmmna843&dl=1	Vibe	Rush	2704	151.010	874	22.651500	80
37	Bermuda Triangle (Hard) by Camellia feat. The8BitDrummer	/scl/fi/ea049olema23j3ch5zost/Bermuda-Triangle-Hard-by-Camellia-feat.-The8BitDrummer.txt?rlkey=alf7ez10lnukqbmk4flom5oy4&dl=1	Rush	Beat	2384	124.577	680	18.686550	343
38	BPM=RT (Hard) by t+pazolite	/scl/fi/a1un0nfcos38u1bk1l1my/BPM-RT-Hard-by-t-pazolite.txt?rlkey=e1siublwxdfgug3gmrmfk1tjl&dl=1	Rush	Rush	1979	129.176	648	19.376400	34
37	Killing Me If You Can -Guitar Instrumental- (Hard) by UNDEAD CORPORATION	/scl/fi/cehhp0xc8lwq1dsogf1zs/Killing-Me-If-You-Can-Guitar-Instrumental-Hard-by-UNDEAD-CORPORATION.txt?rlkey=bm42web8kr0fq4omh8pq8a57e&dl=1	Rush	Beat	2155	130.748	697	19.612200	62
37	M1LLI0N PP (Full Version) [EXTENDED CUT] (Hard) by Camellia	/scl/fi/szjmj8vj1mim29s3ycm2y/M1LLI0N-PP-Full-Version-EXTENDED-CUT-Hard-by-Camellia.txt?rlkey=bcc0x3ayabv0qic65xssjwmp0&dl=1	Beat	Rush	7027	407.631	2038	61.144650	909
37	MONONOKE (Hard) by seatrus	/scl/fi/qut6w5qsih9fyazfjmjxt/MONONOKE-Hard-by-seatrus.txt?rlkey=mku9vivj6h3ryko8hyxgjoen0&dl=1	Flow	Rush	2204	142.611	703	21.391650	94
36	Celestial Scars! (Hard) by ZirconEscalus	/scl/fi/7a3ho0pl1l73e99th2cuw/Celestial-Scars-Hard-by-ZirconEscalus.txt?rlkey=69nvtmt8dksevgir1bh97511u&dl=1	Flow	Flow	2703	162.005	811	24.300750	269
36	FREEDOM DiVE (Koneko's Hardmode) [EXTENDED CUT] (Hard) by xi (xi_com_giko_31)	/scl/fi/2o4ymituxswrwl0xnvq86/FREEDOM-DiVE-Koneko-s-Hardmode-EXTENDED-CUT-Hard-by-xi-xi_com_giko_31.txt?rlkey=wcacotghfqmo94atxsx3urz1c&dl=1	Vibe	Flow	4544	260.280	1451	39.042000	189
36	Galaxy Collapse [EXTENDED CUT] (Hard) by Kurokotei	/scl/fi/1nqb6pyi98s07k94cjoqs/Galaxy-Collapse-EXTENDED-CUT-Hard-by-Kurokotei.txt?rlkey=u0bwkrcstm6v65ry63hyazs1u&dl=1	Rush	Rush	6307	401.608	1932	60.241200	507
36	GHOUL (Hard) by Camellia	/scl/fi/dfat67iujbgdzm0fi8gli/GHOUL-Hard-by-Camellia.txt?rlkey=e807xpyumqs2ck4gfzyv1bwv1&dl=1	Beat	Beat	3427	199.304	1050	29.895600	275
36	U Got Me (Hard) by Bossfight	/scl/fi/l81mcnxxzhkzx0p32twsa/U-Got-Me-Hard-by-Bossfight.txt?rlkey=wgowpszdz9k3uoy993tpz9opy&dl=1	Rush	Beat	2594	179.320	840	26.898000	73
36	Viyella's Nightmare (Hard) by Laur [LAUR1200]	/scl/fi/0n38rg077q147lp7d0y5b/Viyella-s-Nightmare-Hard-by-Laur-LAUR1200.txt?rlkey=padn0rp6klj5zzvziaa6bznxh&dl=1	Rush	Flow	2666	153.802	742	23.070300	439
35	Afflict (Hard) by Laur [LAUR1200] feat. Risa Yuzuki	/scl/fi/97wgl3vlxdt0xl4cp84l2/Afflict-Hard-by-Laur-LAUR1200-feat.-Risa-Yuzuki.txt?rlkey=wraui045ok754d6pomuqjpaf9&dl=1	Rush	Beat	2897	175.598	944	26.339700	63
36	Balthazar [EXTENDED CUT] (Hard) by Juggernaut	/scl/fi/7t2hijotp3dcidipc55t9/Balthazar-EXTENDED-CUT-Hard-by-Juggernaut.txt?rlkey=0j5phe5kscxcscljnrrykn0pl&dl=1	Rush	Rush	4277	253.355	1124	38.003250	902
35	Dark Desire of Ark Six (Hard) by Se-U-Ra	/scl/fi/gcrdnzedknpi49pqo0una/Dark-Desire-of-Ark-Six-Hard-by-Se-U-Ra.txt?rlkey=qgokuiql6j3fta7urlt7i073n&dl=1	Vibe	Chill	2104	110.361	592	16.554150	329
36	The Daybreak Will Never Come Again ('rampagE' long vEr.) [EXTENDED CUT] (Hard) by seatrus	/scl/fi/9u8dvhowylqysxql04e5g/The-Daybreak-Will-Never-Come-Again-rampagE-long-vEr.-EXTENDED-CUT-Hard-by-seatrus.txt?rlkey=v3uk3gwz5d8kjn0dscdf0bls4&dl=1	Beat	Flow	4053	252.910	1185	37.936500	495
